Emission (million tonne),label,amount
31905,Begin,31905
32241,2012,336
32710,2013,469
32820,2014,110
32837,2015,17
33020,2016,183
33426,2017,406
34148,2018,722
34095,2019,-53
32078,2020,-2017
33884,2021,1806
33884,End,0
